DateTime_x,Temperature,Humidity,CO2PPM,CO2M,pH,WTEMP,EC,Wlevel,Temperature1,Humidity1,Temperature2,Humidity2,Temperature3,Humidity3,CO2PPM4,CO2M4,DateTime_y,Acondition,FreshAir,Mtank,WaterCooler,TubeFan,UV,Humidifier,O3,HallLight,CO2,Nutrition,Acid,CirclePump,SeedPump,SeedSpray,SeedA,SeedA.1,SeedB,SeedC,AA,AB,AC,BA,BB,BC,CA,CB,CC,DA,DB,DC,Motor1L,Motor1R,Motor2R,Motor2L,Motor3R,Motor3L,Motor4L,Motor4R,EqipRoomFan,StandBy,DateTime
2024-09-12 19:53:28.713072,22.1,78.6,404,0.000733767993226,pH,WTEMP,EC,748,22.6,73.7,21.5,78.5,21.2,79.6,858,0.0015631136402242,2024-09-12 19:53:19.838957,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,,2024-09-12 19:53:00
2024-09-12 19:54:30.603189,22.3,78.8,405,0.0007350863090201,pH,WTEMP,EC,748,22.7,74.4,21.5,78.5,21.2,79.6,858,0.0015631136402242,2024-09-12 19:54:21.774972,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,,2024-09-12 19:54:00
2024-09-12 19:55:32.384556,22.1,78.4,405,0.000735584250635,pH,WTEMP,EC,748,22.7,74.4,21.5,78.5,21.2,79.6,858,0.0015631136402242,2024-09-12 19:55:23.603437,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,,2024-09-12 19:55:00
2024-09-12 19:56:34.293821,22.1,77.5,403,0.0007319517358171,pH,WTEMP,EC,748,22.7,74.4,21.6,78.0,21.2,79.6,762,0.0013882198063529,2024-09-12 19:56:25.428200,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,,2024-09-12 19:56:00
2024-09-12 19:57:36.073921,22.1,75.4,400,0.0007265029635901,pH,WTEMP,EC,748,22.7,71.8,21.6,78.0,21.2,76.5,762,0.0013882198063529,2024-09-12 19:57:27.344979,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,,2024-09-12 19:57:00
2024-09-12 20:00:35.287184,21.9,72.1,399,0.000725177935943,pH,WTEMP,EC,748,22.5,67.7,21.5,72.3,21.0,73.4,762,0.0013891636919938,2024-09-12 20:00:26.478582,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,,2024-09-12 20:00:00
2024-09-12 20:01:37.157992,21.9,72.1,413,0.0007506227758007,pH,WTEMP,EC,748,22.5,67.7,21.5,72.3,21.0,73.4,837,0.0015258924018357,2024-09-12 20:01:28.388652,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,,2024-09-12 20:01:00
2024-09-12 20:03:11.488729,21.8,75.6,416,0.000756331581624,pH,WTEMP,EC,748,22.5,67.7,21.4,72.3,21.0,73.4,837,0.0015258924018357,2024-09-12 20:03:02.638547,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,,2024-09-12 20:03:00
2024-09-12 20:04:17.759806,21.9,82.9,413,0.0007506227758007,pH,WTEMP,EC,748,22.5,70.6,21.4,72.3,20.9,77.0,837,0.0015264113246046,2024-09-12 20:04:08.905244,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,,2024-09-12 20:04:00
2024-09-12 20:05:19.579455,21.9,82.1,408,0.0007415353329944,pH,WTEMP,EC,748,22.5,70.6,21.2,80.3,20.9,77.0,837,0.0015264113246046,2024-09-12 20:05:10.792800,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,,2024-09-12 20:05:00
